Directories,First,Second,Third
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/cosmos.txt,"(8, 62.02732531393198)","(19, 20.19503580808515)","(13, 14.173199457520196)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/attritionwebsite.txt,"(10, 61.536370956790286)","(7, 11.733817206293802)","(1, 10.602550088457852)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/robocopcharacter.txt,"(17, 46.358133094397935)","(28, 13.259442433227948)","(13, 10.275676052819458)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/submarinesnorkel.txt,"(20, 61.87990315451609)","(2, 12.115152685562425)","(19, 11.238046560987007)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/nathanrabin.txt,"(3, 40.72348505698818)","(30, 23.924345002877807)","(5, 8.96879471280393)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/microsoftpowerpoint.txt,"(25, 58.87498274839559)","(13, 18.789271955494165)","(1, 8.101042004208935)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/recordproducer.txt,"(21, 58.62183034033176)","(13, 22.318804808122167)","(25, 7.719824136615341)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/echiumwildpretii.txt,"(24, 51.40801865069705)","(9, 17.395984500262607)","(6, 15.248249551411435)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/hackthissite.txt,"(10, 42.85196171878371)","(13, 33.13902995169489)","(23, 12.016500219202157)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/childreninneed2010.txt,"(5, 55.850374958876436)","(21, 14.119631252218456)","(30, 11.296119353656714)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/diminutive.txt,"(11, 55.782071978226)","(13, 26.76944237734539)","(9, 7.809699447049335)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/pitbullrapper.txt,"(21, 73.96712417719932)","(5, 6.937955873690002)","(7, 3.3799782035890824)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/nortonmotorcyclecomp.txt,"(2, 56.94349695553308)","(1, 16.637346006690574)","(30, 12.09144002839769)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/thumbaequatorialrock.txt,"(20, 37.15714503739138)","(16, 27.412962929983635)","(6, 10.665817277705607)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/nagercoil.txt,"(16, 27.531544010766478)","(26, 21.037489899703665)","(6, 17.05371960002249)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/roywinsor.txt,"(30, 37.36308261329257)","(5, 36.554977028379554)","(3, 21.403046809832887)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/moorgatestation.txt,"(26, 97.4014186065905)","(20, 1.7618471806061977)","(13, 0.580488629139913)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/khurshidoftabaristan.txt,"(14, 42.99126685279574)","(11, 30.34216661688666)","(30, 15.996520183691809)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/birminghamcitycentre.txt,"(26, 93.08564226185499)","(27, 2.8967118368770812)","(12, 1.6368677331518804)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/lasenza.txt,"(1, 67.9535631708282)","(5, 12.05841978275961)","(30, 8.23606633669717)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/smallsoldiers.txt,"(17, 30.82394348250978)","(3, 24.85809605820571)","(28, 16.67209680999666)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/geoffreyjenkins.txt,"(30, 61.33157989030262)","(3, 20.008129943835463)","(6, 10.663560509736838)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/groharlembrundtland.txt,"(16, 49.8081571134217)","(30, 11.261566386879146)","(1, 7.829562493720513)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/prince.txt,"(9, 57.18377839368291)","(11, 10.13565770241169)","(30, 8.516545515681385)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/frankconroy.txt,"(30, 63.96848409949345)","(21, 11.389245834939803)","(27, 10.223976703998176)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/bonjoursoftware.txt,"(25, 74.50992953524039)","(10, 19.784616598459777)","(13, 3.289308983193917)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/globalwarmingcontrov.txt,"(13, 50.35181635091632)","(7, 13.779468003270065)","(1, 12.70928925663964)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/sub7.txt,"(10, 42.02004117144521)","(25, 38.15481713995974)","(13, 14.070548081560558)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/boygeorge.txt,"(21, 50.90327938768744)","(30, 22.88053168624982)","(7, 9.2451443658976)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/lasgo.txt,"(21, 92.40439064655762)","(26, 1.9083209683177307)","(14, 1.2158956193305812)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/coccydynia.txt,"(22, 77.69321974037018)","(12, 12.82962957490186)","(13, 6.135618918415122)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/structuralritualizat.txt,"(13, 81.53859343673736)","(12, 11.653142189202201)","(1, 3.7739579574886655)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/davidzeller.txt,"(3, 76.55779155194713)","(4, 6.7664805604517735)","(21, 3.8420494254102024)"
